Age,Experience,Education_Level,Hours_Per_Week,Salary
49,21,Bachelor,41,110078
35,9,Bachelor,53,69743
28,4,Master,50,59444
41,16,Bachelor,37,88932
39,14,Bachelor,55,99037
43,15,Bachelor,33,94939
31,8,Master,55,87068
31,4,Bachelor,37,48747
44,23,Master,55,144112
44,23,Bachelor,47,129378
23,0,Bachelor,34,30000
42,19,Bachelor,38,101711
22,0,Bachelor,33,30000
44,16,Master,51,105002
50,27,Master,46,143738
22,0,PhD,38,46455
41,13,Bachelor,30,83513
53,27,Bachelor,50,143017
32,4,Master,49,69661
42,21,Bachelor,42,117215
45,17,Bachelor,45,101750
47,23,Bachelor,42,116025
48,25,Bachelor,43,133279
36,15,PhD,32,117245
35,7,Master,35,61964
23,0,Master,47,45109
27,1,Bachelor,48,36521
41,13,Bachelor,34,87534
29,5,Bachelor,44,58323
38,12,Bachelor,54,90970
24,1,Bachelor,31,30000
45,17,Master,39,107722
34,8,Master,53,75346
29,8,Bachelor,47,57618
46,23,PhD,42,141297
22,1,Master,34,41406
40,15,Bachelor,52,93970
48,26,Master,53,143831
27,0,Bachelor,30,30000
28,2,Bachelor,51,40645
55,33,Bachelor,30,153773
34,12,Master,47,91649
37,11,Bachelor,44,75782
24,1,Bachelor,46,31606
22,0,Bachelor,40,30000
26,1,Bachelor,50,46003
24,3,Master,55,61352
49,25,Master,54,145450
38,17,Bachelor,51,106572
46,22,Bachelor,46,122267
54,33,Bachelor,42,160605
30,4,Bachelor,30,35662
34,9,Bachelor,31,56176
51,23,Bachelor,38,114796
35,11,Bachelor,32,75642
28,0,Master,30,38029
34,6,Master,50,72841
43,15,Bachelor,45,85925
41,14,Bachelor,52,100147
36,13,Master,35,87632
38,17,Bachelor,46,97588
44,16,Master,34,99796
46,25,Master,34,139975
45,17,Bachelor,35,94768
49,25,Bachelor,32,126495
35,12,Master,50,94161
21,0,Bachelor,52,36258
45,19,Bachelor,34,95332
27,0,PhD,50,64748
29,3,Bachelor,34,42061
44,18,Bachelor,39,104050
21,0,Master,39,39871
28,2,Bachelor,48,40006
44,18,Bachelor,46,106885
31,6,PhD,50,91369
37,14,Bachelor,43,91810
28,2,PhD,38,63743
55,27,PhD,43,168799
55,32,Bachelor,30,158328
53,30,Bachelor,48,150691
25,3,Bachelor,42,41838
48,23,Bachelor,42,130213
27,1,Bachelor,33,30000
29,8,Master,30,71052
28,4,Bachelor,46,55629
32,5,Bachelor,37,45139
54,26,Master,31,139101
53,32,Bachelor,37,160979
43,18,Master,36,105561
44,20,Bachelor,55,120406
55,30,Bachelor,55,158267
42,14,Master,31,97454
47,24,Master,51,134776
55,31,Master,51,175877
21,0,Master,32,33812
55,27,Master,47,157240
34,13,Bachelor,41,82704
23,0,Bachelor,30,30000
21,0,Master,51,50401
25,1,Master,41,50116
46,22,PhD,34,132733
34,8,Bachelor,54,63805
47,22,Bachelor,46,118022
29,3,Master,45,56967
35,10,Bachelor,44,75355
35,9,PhD,52,101713
46,23,Master,44,133486
33,9,Bachelor,34,58817
52,31,Master,50,170489
52,27,Master,43,156318
24,0,Bachelor,31,30000
50,25,PhD,40,157162
43,22,Bachelor,48,121152
35,9,Master,36,82146
49,24,Bachelor,35,129934
33,6,Master,31,63734
52,29,Bachelor,35,135990
27,3,Bachelor,47,39463
42,21,PhD,31,128724
48,24,Bachelor,47,131087
22,0,Bachelor,44,33511
26,1,PhD,48,61842
48,23,PhD,31,133805
48,20,Bachelor,49,114789
40,13,Master,54,102759
50,29,Bachelor,35,146643
31,3,Bachelor,30,43862
48,25,Bachelor,53,134995
45,17,Master,44,111066
53,31,Master,52,170137
21,0,Master,39,33617
47,25,Master,48,147020
33,6,Bachelor,46,64717
23,0,Bachelor,34,30000
26,4,Bachelor,33,48809
28,5,Bachelor,39,55034
47,19,Bachelor,53,120309
29,3,Master,46,56260
53,25,Bachelor,39,126089
44,22,Bachelor,46,112046
35,7,Bachelor,49,67554
52,25,Master,53,154103
52,26,Master,34,149785
44,17,Bachelor,31,99946
32,10,Bachelor,35,65216
22,0,Master,50,55059
23,0,Bachelor,31,32256
37,15,Master,42,100369
22,0,Master,40,48121
22,0,Bachelor,40,31733
48,27,Bachelor,45,144971
43,15,PhD,40,118302
52,31,Bachelor,48,155815
53,32,Bachelor,44,149024
21,0,Master,54,53819
39,13,PhD,52,109908
22,0,PhD,52,59683
46,19,Master,45,125846
52,27,Bachelor,40,130948
26,4,Bachelor,51,49733
52,25,Master,45,149341
24,2,Bachelor,37,41307
31,8,Bachelor,33,60265
37,15,PhD,37,106228
44,23,Bachelor,33,110117
25,0,Bachelor,53,34334
54,29,Bachelor,54,159570
26,2,Bachelor,32,33988
42,20,Bachelor,32,98426
31,4,Bachelor,47,58094
36,15,Bachelor,55,91744
53,29,Master,48,161393
29,4,Master,48,68177
26,2,Bachelor,50,46231
36,15,PhD,34,102509
49,21,Bachelor,47,110460
23,0,Bachelor,39,30000
40,14,Master,51,105965
39,11,Bachelor,50,74919
46,20,PhD,35,131541
23,0,Bachelor,30,30000
39,16,PhD,34,112487
40,13,Bachelor,38,86005
52,25,Master,41,136019
27,3,Bachelor,55,50912
53,31,PhD,43,171142
38,16,Bachelor,31,94224
21,0,Bachelor,46,35568
31,4,PhD,43,69332
48,21,Bachelor,55,116624
45,19,Master,42,113094
43,20,Master,38,122950
51,30,Bachelor,55,160731
50,28,Master,54,166509
55,28,Bachelor,44,145830
27,1,PhD,54,63390
36,11,Bachelor,51,83869
46,20,Bachelor,44,113310
22,0,PhD,53,61884
21,0,Master,40,35604
