iq,cgpa,placement
105,7.2,0
115,8.1,1
98,6.5,0
120,8.7,1
110,7.8,1
95,6.2,0
125,9.0,1
108,7.5,0
112,8.0,1
90,6.0,0
118,8.4,1
102,7.1,0
122,8.9,1
107,7.6,0
114,8.2,1
100,6.8,0
119,8.5,1
97,6.4,0
116,8.3,1
92,6.1,0
121,8.8,1
104,7.3,0
111,7.9,1
96,6.3,0
117,8.4,1
103,7.2,0
123,8.9,1
106,7.5,0
113,8.1,1
91,6.0,0
124,9.0,1
101,7.0,0
109,7.7,1
99,6.6,0
118,8.6,1
94,6.2,0
120,8.8,1
105,7.4,0
115,8.2,1
93,6.1,0
122,9.0,1
108,7.6,0
116,8.3,1
100,6.7,0
119,8.5,1
97,6.4,0
114,8.1,1
102,7.1,0
121,8.9,1
107,7.5,0
112,7.9,1
95,6.3,0
125,9.0,1
104,7.3,0
118,8.4,1
90,6.0,0
117,8.5,1
103,7.2,0
123,8.8,1
106,7.4,0
115,8.2,1
92,6.1,0
120,8.7,1
101,6.9,0
111,7.8,1
98,6.5,0
122,8.9,1
105,7.3,0
119,8.6,1
94,6.2,0
116,8.3,1
100,6.8,0
124,9.0,1
109,7.6,0
114,8.1,1
91,6.0,0
121,8.8,1
102,7.0,0
118,8.5,1
96,6.4,0
117,8.4,1
103,7.2,0
125,9.0,1
108,7.5,0
115,8.2,1
93,6.1,0
122,8.9,1
106,7.4,0
120,8.7,1
99,6.6,0
113,8.0,1
95,6.3,0
123,8.9,1
104,7.3,0
119,8.5,1
100,6.7,0
117,8.4,1
97,6.5,0
124,9.0,1
